Number	Name	Type	Angle around circle of radar	Blip Edit Status	Blip Quadrant	Blip Ring	Brand Value	Cost	Cost Reduction	Created	Date last modified	Distance from center of Radar	Due Date	Estimate	Event Date	Event Type	IsFaded	Location	Market Size	Owner	Pricing Power	Priority	Status	Target Quarter	URL	URL - Shortened	URL label	Value	Events	Events - Event	Stories	Stories - Story	Technologies	Technologies - Technology	Created by	Modified by
266	Automate Database Deployment	Blip	135		Techniques	Adopt					2011-7	90								psadalag					http://www.innovartis.co.uk/Automated_Database_Change_Management_Whitepaper.htm		Automated database deployment whitepaper		no		no		no		skseth	jnorris
264	JavaScript as a first class language	Blip	300	In Editing	Languages	Adopt						80								mmason									no		no		no		skseth	jnorris
260	Domain-Specific Languages	Blip	320	Include w/o Write Up	Languages	Trial					2011-1	170													http://www.martinfowler.com/bliki/DomainSpecificLanguage.html		Martin Fowler's Bliki: Domain Specific Languages		no		no		no		skseth	jnorris
259	HTML 5	Blip	330		Languages	Adopt					2011-7	140								icartwri					http://slides.html5rocks.com		HTML 5 Rocks!		no		no		no		skseth	jnorris
258	Clojure	Blip	292		Languages	Trial					2012-1	170								nford									no		no		no		skseth	jnorris
257	Scala	Blip	300	Include w/o Write Up	Languages	Trial					2011-1	155													http://www.scala-lang.org/node/25		The Scala Programming Language		no		no		no		skseth	jnorris
256	F#	Blip	320	In Editing	Languages	Assess						290								mmason									no		no		no		skseth	jnorris
255	Future of Java	Blip	330	In Editing	Languages	Assess					2011-1	325								rferraz					http://www.infoworld.com/d/developer-world/the-coming-war-over-the-future-java-866?page=0,0		The Coming War Over the Future of Java		no		no		no		skseth	jnorris
252	ATOM	Blip	202		Platforms	Adopt					2010-8	30																	no		no		no		skseth	jnorris
251	KVM	Blip	245		Platforms	Adopt					2010-8	25																	no		no		no		skseth	jnorris
246	AWS	Blip	235	In Editing	Platforms	Adopt					2011-7	115								snewman									no		no		no		skseth	jnorris
245	Tablet	Blip	216	Include w/o Write Up	Platforms	Trial					2011-7	170																	no		no		no		skseth	jnorris
240	GPGPU	Blip	190	Include w/o Write Up	Platforms	Assess						300																	no		no		no		skseth	jnorris
236	Mobile Web	Blip	210		Platforms	Adopt					2011-7	85								icartwri									no		no		no		skseth	jnorris
234	WS-*	Blip	190	In Editing	Platforms	Hold					2011-7	375								mmason									no		no		no		skseth	jnorris
232	GWT	Blip	224		Platforms	Hold					2011-7	375								nford									no		no		no		skseth	jnorris
227	Git	Blip	70		Tools	Adopt					2011-7	110								nford									no		no		no		skseth	jnorris
224	Infrastructure as Code	Blip	45	In Editing	Tools	Adopt					2011-7	75								mmason					http://www.agileweboperations.com/the-implications-of-infrastructure-as-code		The implications of Infrastructure as Code		no		no		no		skseth	jnorris
